table_name,grantee,privilege_type
evaluations,anon,INSERT
evaluations,anon,TRIGGER
evaluations,anon,REFERENCES
evaluations,anon,TRUNCATE
evaluations,anon,DELETE
evaluations,anon,UPDATE
evaluations,anon,SELECT
evaluations,authenticated,INSERT
evaluations,authenticated,TRIGGER
evaluations,authenticated,REFERENCES
evaluations,authenticated,TRUNCATE
evaluations,authenticated,DELETE
evaluations,authenticated,UPDATE
evaluations,authenticated,SELECT
evaluations,service_role,SELECT
evaluations,service_role,TRIGGER
evaluations,service_role,REFERENCES
evaluations,service_role,TRUNCATE
evaluations,service_role,DELETE
evaluations,service_role,UPDATE
evaluations,service_role,INSERT
health_check,anon,TRIGGER
health_check,anon,INSERT
health_check,anon,SELECT
health_check,anon,UPDATE
health_check,anon,DELETE
health_check,anon,TRUNCATE
health_check,anon,REFERENCES
health_check,authenticated,SELECT
health_check,authenticated,INSERT
health_check,authenticated,TRIGGER
health_check,authenticated,REFERENCES
health_check,authenticated,TRUNCATE
health_check,authenticated,DELETE
health_check,authenticated,UPDATE
health_check,service_role,INSERT
health_check,service_role,TRIGGER
health_check,service_role,REFERENCES
health_check,service_role,TRUNCATE
health_check,service_role,DELETE
health_check,service_role,UPDATE
health_check,service_role,SELECT
project_tribunals,anon,INSERT
project_tribunals,anon,SELECT
project_tribunals,anon,UPDATE
project_tribunals,anon,TRIGGER
project_tribunals,anon,DELETE
project_tribunals,anon,TRUNCATE
project_tribunals,anon,REFERENCES
project_tribunals,authenticated,REFERENCES
project_tribunals,authenticated,INSERT
project_tribunals,authenticated,SELECT
project_tribunals,authenticated,UPDATE
project_tribunals,authenticated,DELETE
project_tribunals,authenticated,TRUNCATE
project_tribunals,authenticated,TRIGGER
project_tribunals,service_role,DELETE
project_tribunals,service_role,TRIGGER
project_tribunals,service_role,REFERENCES
project_tribunals,service_role,TRUNCATE
project_tribunals,service_role,UPDATE
project_tribunals,service_role,SELECT
project_tribunals,service_role,INSERT
projects,anon,INSERT
projects,anon,TRIGGER
projects,anon,REFERENCES
projects,anon,TRUNCATE
projects,anon,DELETE
projects,anon,UPDATE
projects,anon,SELECT
projects,authenticated,INSERT
projects,authenticated,TRIGGER
projects,authenticated,REFERENCES
projects,authenticated,TRUNCATE
projects,authenticated,DELETE
projects,authenticated,UPDATE
projects,authenticated,SELECT
projects,service_role,TRIGGER
projects,service_role,REFERENCES
projects,service_role,TRUNCATE
projects,service_role,DELETE
projects,service_role,UPDATE
projects,service_role,SELECT
projects,service_role,INSERT
students,anon,INSERT
students,anon,SELECT
students,anon,UPDATE
students,anon,DELETE
students,anon,TRUNCATE
students,anon,REFERENCES
students,anon,TRIGGER
students,authenticated,INSERT
students,authenticated,SELECT
students,authenticated,UPDATE
students,authenticated,DELETE
students,authenticated,TRUNCATE
students,authenticated,REFERENCES
students,authenticated,TRIGGER
students,service_role,REFERENCES
students,service_role,INSERT
